# Produced by delphy version 0.996 (build 2022, commit 33c06a8)
Sample	numMuts	posterior_for_Delphy	likelihood_really_logG	prior	treeLikelihood_really_logG	TreeHeight	clockRate	kappa	CoalescentExponential	ePopSize	growthRate	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4	
0	5989	-213489	-150315	-63173.3	-150315	3.62385	0.001	1	-62663.7	2.73973	0	0.310972	0.181052	0.190449	0.317527	
10000000	5118	-124706	-118008	-6697.72	-118008	2.29544	0.000441396	4.4056	-6180.3	1754.56	4.09164	0.276318	0.165759	0.177093	0.380831	
20000000	5107	-123866	-117311	-6554.2	-117311	1.97293	0.000489882	4.60609	-6036.68	1802.96	4.37929	0.27766	0.170014	0.176369	0.375957	
30000000	5100	-123023	-116652	-6371.06	-116652	1.84286	0.000535598	4.43343	-5853.78	1493.23	4.49568	0.278196	0.170287	0.175314	0.376203	
40000000	5092	-122706	-116386	-6319.86	-116386	1.93436	0.000556172	4.34764	-5802.49	1662.2	4.7866	0.270872	0.1713	0.179948	0.37788	
50000000	5093	-123398	-116913	-6485.08	-116913	1.97987	0.000495615	4.60967	-5967.58	1773.75	4.48893	0.275361	0.168144	0.176427	0.380068	
60000000	5093	-122794	-116464	-6330.34	-116464	1.92386	0.000538563	4.59015	-5813.08	1395.57	4.53349	0.275752	0.169578	0.172901	0.381768	
70000000	5089	-123339	-116856	-6483.41	-116856	2.12726	0.000503627	4.59148	-5966.49	1015.49	3.76323	0.279547	0.166866	0.177492	0.376096	
80000000	5089	-123297	-116833	-6463.53	-116833	2.05318	0.000499873	4.59312	-5946.03	1766.71	4.52818	0.27962	0.167361	0.176138	0.37688	
90000000	5091	-122773	-116446	-6327.09	-116446	2.1963	0.000555062	4.69414	-5809.75	1459.33	4.53992	0.276188	0.170498	0.174124	0.37919	
100000000	5087	-123012	-116606	-6406.07	-116606	1.96046	0.000536787	4.61969	-5888.73	1504.49	4.45374	0.275613	0.170853	0.174273	0.379262	
110000000	5091	-122943	-116574	-6368.8	-116574	2.09803	0.000545228	4.75493	-5851.77	1076.74	4.07124	0.276907	0.167842	0.176754	0.378497	
120000000	5087	-122402	-116142	-6259.96	-116142	1.88805	0.000573577	4.47167	-5742.71	1424.2	4.62916	0.276812	0.170856	0.177169	0.375163	
130000000	5087	-122886	-116499	-6386.43	-116499	1.90688	0.000529356	4.40443	-5869.18	1466.77	4.45777	0.272781	0.169674	0.176115	0.381429	
140000000	5091	-122868	-116513	-6354.73	-116513	2.02758	0.000542071	4.5023	-5837.82	1022.64	4.00046	0.276018	0.169743	0.175016	0.379223	
150000000	5092	-122473	-116224	-6249.03	-116224	1.85295	0.00057466	4.48476	-5731.55	1770.27	4.93788	0.277654	0.171404	0.174273	0.376669	
160000000	5087	-122550	-116253	-6296.16	-116253	1.87872	0.000555675	4.61184	-5779.24	996.432	4.14234	0.27644	0.168154	0.179767	0.375639	
170000000	5091	-123410	-116917	-6493.01	-116917	2.11069	0.00049857	4.55764	-5975.66	1546.42	4.28853	0.277236	0.168593	0.173883	0.380287	
180000000	5082	-123620	-117054	-6565.47	-117054	1.95883	0.000459961	4.27268	-6048.16	1627.51	4.25903	0.27414	0.167034	0.176054	0.382772	
190000000	5084	-123313	-116820	-6493.19	-116820	2.00301	0.000493179	4.69859	-5975.89	1427.69	4.25638	0.2781	0.167713	0.175868	0.378319	
